HGNC symbol;MODE;median (nearest phylostratum)
MIR3919;#N/A;19.2
MIR3929;#N/A;19.2
MIR3973;#N/A;19.2
MIR409;#N/A;17
MIR410;#N/A;17
MIR411;#N/A;18
MIR412;#N/A;17
MIR421;#N/A;17
MIR422A;#N/A;19.2
MIR425;#N/A;14
MIR4254;#N/A;19.2
MIR4255;#N/A;19.2
MIR4258;#N/A;19.2
MIR4265;#N/A;19.2
MIR4271;#N/A;19.2
MIR4275;#N/A;19.2
MIR4276;#N/A;19.2
MIR4279;#N/A;19.1
MIR4282;#N/A;19.1
MIR4283-1;#N/A;19.2
MIR4283-2;#N/A;19.2
MIR4289;#N/A;19.2
MIR429;#N/A;11
MIR4291;#N/A;19.2
MIR4292;#N/A;19.2
MIR4295;#N/A;19.2
MIR4298;#N/A;19.2
MIR431;#N/A;17
MIR4310;#N/A;19.2
MIR4313;#N/A;19.2
MIR4314;#N/A;19.2
MIR4319;#N/A;19.2
MIR432;#N/A;17
MIR4323;#N/A;19.2
MIR4325;#N/A;19.2
MIR433;#N/A;17
MIR4420;#N/A;19.2
MIR4424;#N/A;19.2
MIR4428;#N/A;19.2
MIR4432;#N/A;19.2
MIR4435-1;#N/A;19.2
MIR4435-2HG;#N/A;18
MIR4436B1;#N/A;19.2
MIR4436B2;#N/A;19.2
MIR4437;#N/A;19.2
MIR4442;#N/A;19.2
MIR4444-1;#N/A;19.1
MIR4444-2;#N/A;19.1
MIR4445;#N/A;19.2
MIR4447;#N/A;19.2
MIR4451;#N/A;19.2
MIR4453;#N/A;19.2
MIR4455;#N/A;19.2
MIR4458;#N/A;19.2
MIR4470;#N/A;19.2
MIR4474;#N/A;19.2
MIR4475;#N/A;19.2
MIR4479;#N/A;19.2
MIR448;#N/A;17
MIR4486;#N/A;19.2
MIR4489;#N/A;19.2
MIR4493;#N/A;19.2
MIR4495;#N/A;19.2
MIR4498;#N/A;19.2
MIR4499;#N/A;19.2
MIR449A;#N/A;14
MIR449B;#N/A;14
MIR449C;#N/A;15.1
MIR4504;#N/A;19.1
MIR4506;#N/A;19.2
MIR450A1;#N/A;17
MIR450A2;#N/A;17
MIR450B;#N/A;17
MIR4510;#N/A;19.2
MIR4519;#N/A;19.2
MIR451A;#N/A;12
MIR4520-1;#N/A;19.2
